question,answer
"不能以自然人名义申请注册的商标有（）
A．颜色组合商标                           
B．服务商标
C．证明商标                                  
D．联合商标",C
"依商标法的规定，下列表述中正确的是（）
A．通过使用获得显著性的标志，可以作为商标注册
B．对商标局驳回商标注册申请不服的，申请人可以直接向人民法院起诉
C．对商标侵权行为，任何人可以向商标评审委员会投诉
D．注册商标连续五年停止使用的，商标局可以撤销之",A
"下列申请注册的商标，将依法被驳回申请的有（）
A．在灯具上申请注册“节电”商标
B．在商品房上申请注册“博远”商标
C．黄山市药厂在药品上申请注册“黄山”商标
D．在电扇上申请注册“飞天”商标",A
"在我国，对于知名商品特有名称的保护适用的法律是____，保护期间为____。（）
A．产品质量法，20年                    
B．反不正当竞争法，无时间限制
C．民法，无时间限制                     
D．消费者权益保护法，10年",B
"下列情形中，需要重新提出注册申请的是（） 
A.变更注册人的名义 
B.变更注册商标构成要素 
C.变更地址 
D.变更除注册人名义、地址之外的其他注册事项",B
"依据我国商标法的规定，不能作为商标构成要素的是（） 
A.数字                                                     
B.气味 
C.三维标志
D.颜色",B
"商标权人使用注册商标的效力范围是（） 
A.在核定的商品上使用与注册商标近似的商标 
B.在与核定商品类似的商品上使用核准注册的商标 
C.在核定的商品上使用核准注册的商标 
D.在与核定商品非类似的商品上使用核准注册的商标",C
"工商行政管理部门处理商标侵权纠纷时（） 
A.认定侵权行为成立的，可以就赔偿数额作出处理决定 
B.对赔偿数额作出的处理决定，是终局决定 
C.对赔偿数额作出的处理决定，不是终局决定 
D.认定侵权行为成立的，不能就赔偿数额作出处理决定",D
"甲和乙在类似商品上以近似商标在同一天申请注册，如果甲和乙在申请日前均未使用商标，依据商标法相关规则（） 
A.甲和乙应当在收到商标局通知之日起30日内自行协商确定申请人 
B.商标局应当依职权确定申请人 
C.甲和乙不愿协商确定的，均不能成为申请人 
D.商标局直接以抽签的方式确定申请人",B
"某律师在向客户介绍商标异议程序时有如下说法，正确的是（）
A.异议申请应向商标局提出 
B.对初步审定的商标，自公告之日起6个月内任何人均可以提出异议 
C.异议申请应向商标评审委员会提出 
D.经裁定异议不能成立而核准注册的，商标注册申请人取得商标权的时间从核准注册之日起计算",A
"1904年，清政府颁布了我国历史上的第一部商标法规，即()。 
A.《商标注册暂行规定》            
B.《商标注册试办章程》 
C.《商标注册暂行条例》             
D.《商标管理暂行章程》                           　　",B
"申请人申请商标注册，申报的商品()。 
A.不得超出核准或登记的经营范围      
B.不得超出登记的经营范围 
C.不得超出核准的经营范围            
D.可以超出核准或登记的经营范围                          　　",A
"当事人对商标评审委员会的裁定不服的，可以自收到通知之日起30日内()。 
A.向商标局提出复审请求              
B.向仲裁机关申请仲裁 
C.向人民法院起诉                    
D.执行该裁定                          　　                         　　",C
"下列可以被核准注册为商标的有()。 
A.""最亮""牌灯泡                     
B.""补血""牌营养液 
C.""巧妙""手表                       
D.""钢铁""牌汽车                           　　",C
"注册不当的商标被撤销后，因商标权人的恶意给他人造成损失的()。 
A.不必给予赔偿                     
B.应当予以赔偿 
C.应当没收非法所得                 
D.应当给予行政处罚                      　　",B
"判断商标相同或近似的前提条件是()
A．看两件或两件以上的商标是否用于“相同商品”上   
B．看两件或两件以上的商标是否用于“同种商品”上    
C.看两件或两件以上的商标是否用于“类似商品”上    
D.看两件或两件以上的商标是否用于“同种商品”或“类似商品”上",D
"申请注册的商标，应当有（），便于识别，并不得与他人在先取得的合法权利相冲突。
A.注册标记 B.显著特征 C.注册商标字样",B
"下列行为那种属于侵犯注册商标专用权（）
A未经商标注册人的许可，在类似商品上使用与其注册商标相同或者近似的商标的；
B 正当使用他人注册商标中直接表示商品的质量的部分；
C 正当使用他人注册商标中含有的地名",A
"对侵犯注册商标专用权的行为，罚款数额为非法经营额 （）以下；非法经营额无法计算的，罚款数额为10万以下。
A.3倍 B.5倍 C.2倍",A
"生产、经营者违反《商标法》关于驰名商标的使用,将“驰名商标”字样用于商品、商品包装或者容器上的,由地方工商行政管理部门责令改正,予以xxx罚款。()
A.15 万元
B.20万元
C.10万元
D.5万元",C
"根据我国商标法规定,办理续展的申请时间只能是()
A.期满前12个月内、期满后6个月内
B.期满前后各6个月内
C.期满后6个月内
D.期满前后各12个月内",A
